;;;;;;;;;;;th;SEQUENCING;DNROI;DNROI-OUT;NFIX;NFIX-OUT;DURATION;SEQUENCING;DNROI;DNROI-OUT;NFIX;NFIX-OUT;DURATION;
PT;BM_fix_imm2;BM-DBEAC34521-prova4;6;46,64004988;117,4638293;68;27;271,9852941;regions\DBEAC34521;;;6;46,64004988;117,4638293;68;27;271,9852941;;;;;;;
PT;BM_fix_imm3;BM-42135CABED-prova6;7;78,31946801;124,0058243;76;48;253,5394737;regions\42135CABED;;;7;78,31946801;124,0058243;76;48;253,5394737;;;;;;;
PT;BM_fix_imm4;BM-CABED42135-prova8;7;45,16589271;105,387083;49;21;375,5306122;regions\CABED42135;;;7;45,16589271;105,387083;49;21;375,5306122;;;;;;;
PT;CG_fix_imm1;CG-32451EDCAB-prova2;5;79,61612315;140,1243767;44;25;434,2272727;regions\32451EDCAB;;;5;79,61612315;140,1243767;44;25;434,2272727;;;;;;;
PT;CG_fix_imm2;GC-43215DECAB-prova4;5;77,55127647;135,7147338;49;28;386,9591837;regions\43215DECAB;;;5;77,55127647;135,7147338;49;28;386,9591837;;;;;;;
PT;CG_fix_imm3;CG-CBEAD42531-prova6;-1;-1;-1;-1;-1;-1;-1;;;;;;;;;;;;;;;
PT;CG_fix_imm4;CG-ECBAD42135-prova8;4;56,07199718;120,1542797;45;21;421,4222222;regions\ECBAD42135;;;4;56,07199718;120,1542797;45;21;421,4222222;;;;;;;
PT;LM_fix_imm1;LM-43521EACBD-prova2;2;125,8045305;144,6752101;23;20;844,6956522;regions\43521EACBD;;;2;125,8045305;144,6752101;23;20;844,6956522;;;;;;;
PT;LM_fix_imm2;LM-42135CABED-prova4;5;100,7112992;142,1806577;24;17;785,5416667;regions\42135CABED;;;5;100,7112992;142,1806577;24;17;785,5416667;;;;;;;
PT;LM_fix_imm3;LM-CABED42135-prova6;5;98,97474534;137,7039935;32;23;578,96875;regions\CABED42135;;;5;98,97474534;137,7039935;32;23;578,96875;;;;;;;
PT;LM_fix_imm4;LM-DCAEB35412-prova8;4;108,629776;135,7872201;30;24;624,0666667;regions\DCAEB35412;;;4;108,629776;135,7872201;30;24;624,0666667;;;;;;;
PT-N;CO_fix_imm1;Pazienti\CO\32451EDCAB\DATA;5;69,13964049;120,354189;47;27;331,6170213;regions\32451EDCAB;;;5;69,13964049;120,354189;47;27;331,6170213;;;;;;;
PT-N;CO_fix_imm2;Pazienti\CO\43125BACED\DATA;4;72,26391502;125,5110103;33;19;478,6060606;regions\43125BACED;;;4;72,26391502;125,5110103;33;19;478,6060606;;;;;;;
PT-N;CO_fix_imm3;Pazienti\CO\BEACD24531\DATA;4;64,6983406;134,7882096;25;12;479,48;regions\BEACD24531;;;4;64,6983406;134,7882096;25;12;479,48;;;;;;;
PT-N;CO_fix_imm4;Pazienti\CO\DCAEB35412\DATA;6;53,68620044;132,1506472;32;13;576,84375;regions\DCAEB35412;;;6;53,68620044;132,1506472;32;13;576,84375;;;;;;;
PT-N;DTR_fix_imm2;Pazienti\DTR\43521EACBD\DATA;0;119,6598883;119,6598883;1;1;119,6598883;regions\43521EACBD;;;;;;;;;;;;;;;
PT-N;DTR_fix_imm3;Pazienti\DTR\DBEAC24531\DATA;3;90,68404198;124,6905577;33;24;579,2424242;regions\DBEAC24531;;;3;90,68404198;124,6905577;33;24;579,2424242;;;;;;;
PT-N;DTR_fix_imm3;Pazienti\DTR\DBEAC24531\DATAcalibratedcalibrated;4;-1;-1;0;0;-1;regions\DBEAC24531;;;4;-1;-1;0;0;-1;;;;;;;
PT-N;OM_fix_imm1;Pazienti\OM\32451EDCAB\DATA;4;55,55606386;111,1121277;18;9;527,0555556;regions\32451EDCAB;;;4;55,55606386;111,1121277;18;9;527,0555556;;;;;;;
PT-N;OM_fix_imm2;Pazienti\OM\43125BACED\DATA;3;77,04421601;130,9751672;17;10;542,6470588;regions\43125BACED;;;3;77,04421601;130,9751672;17;10;542,6470588;;;;;;;
PT-N;RF_fix_imm3;Pazienti\RF\3, DEBAD42135\DATA;2;92,29490691;143,5698552;28;18;636,2142857;regions\DEBAD42135;;;2;92,29490691;143,5698552;28;18;636,2142857;;;;;;;
